Date,Net_Sales
2022-01-01,505548.25
2022-01-02,521347.82
2022-01-03,398828.19
2022-01-04,332919.47000000003
2022-01-05,322661.2
2022-01-06,335006.62
2022-01-07,472878.87
2022-01-08,502955.83
2022-01-09,415667.81
2022-01-10,286363.32
2022-01-11,293236.79
2022-01-12,298280.68
2022-01-13,301875.0
2022-01-14,432100.67
2022-01-15,520456.72
2022-01-16,368036.66
2022-01-17,366197.37
2022-01-18,258939.29
2022-01-19,268929.03
2022-01-20,342078.26
2022-01-21,473489.12
2022-01-22,512565.57
2022-01-23,442728.74
2022-01-24,285422.7
2022-01-25,266303.3
2022-01-26,273269.13
2022-01-27,298462.11
2022-01-28,431225.87
2022-01-29,513278.63
2022-01-30,404414.88
2022-01-31,292596.13
2022-02-01,271533.4
2022-02-02,272258.2
2022-02-03,330287.26
2022-02-04,451963.3
2022-02-05,517567.36
2022-02-06,437563.6
2022-02-07,261209.37
2022-02-08,256287.6
2022-02-09,260231.26
2022-02-10,282063.69
2022-02-11,412544.31
2022-02-12,525587.67
2022-02-13,318879.77
2022-02-14,406794.77
2022-02-15,283265.45
2022-02-16,290012.83
2022-02-17,321280.47
2022-02-18,462172.27
2022-02-19,517051.61
2022-02-20,492729.4
2022-02-21,398900.93
2022-02-22,291885.8
2022-02-23,350907.08
2022-02-24,359858.54
2022-02-25,485361.77
2022-02-26,573223.91
2022-02-27,489547.11
2022-02-28,283383.48
2022-03-01,258685.77
2022-03-02,270757.81
2022-03-03,299847.96
2022-03-04,429675.12
2022-03-05,515815.76
2022-03-06,433299.09
2022-03-07,304600.89
2022-03-08,309943.27
2022-03-09,308179.83999999997
2022-03-10,322423.98
2022-03-11,454546.3
2022-03-12,535292.91
2022-03-13,471114.39
2022-03-14,313035.45
2022-03-15,305622.27
2022-03-16,314299.79
2022-03-17,336218.2
2022-03-18,453179.17
2022-03-19,499280.87
2022-03-20,471921.92
2022-03-21,306154.87
2022-03-22,286750.72
2022-03-23,310141.34
2022-03-24,318972.88
2022-03-25,422255.32
2022-03-26,496104.33
2022-03-27,454915.11
2022-03-28,320857.07
2022-03-29,279913.12
2022-03-30,291945.0
2022-03-31,321430.37
2022-04-01,435444.45
2022-04-02,489646.6
2022-04-03,448731.92
2022-04-04,287026.9
2022-04-05,284239.82
2022-04-06,280750.53
2022-04-07,299794.43
2022-04-08,417319.3
2022-04-09,480319.2
2022-04-10,443228.41
2022-04-11,292921.17
2022-04-12,296551.68
2022-04-13,284345.76
2022-04-14,313562.93
2022-04-15,438743.27999999997
2022-04-16,459386.21
2022-04-17,354476.82
2022-04-18,310313.26
2022-04-19,285224.76
2022-04-20,299291.93
2022-04-21,319678.94
2022-04-22,436985.76
2022-04-23,474177.77999999997
2022-04-24,422395.31
2022-04-25,293590.19
2022-04-26,282727.53
2022-04-27,287699.61
2022-04-28,324425.8
2022-04-29,424301.35
2022-04-30,481755.61
2022-05-01,456166.34
2022-05-02,301965.63
2022-05-03,299336.83
2022-05-04,297341.97
2022-05-05,285694.35
2022-05-06,434574.63
2022-05-07,490758.46
2022-05-08,464305.22000000003
2022-05-09,300398.58
2022-05-10,283307.74
2022-05-11,300812.87
2022-05-12,315519.78
2022-05-13,425543.2
2022-05-14,466394.26
2022-05-15,429309.54
2022-05-16,298196.47000000003
2022-05-17,290712.2
2022-05-18,299829.58
2022-05-19,317931.8
2022-05-20,443002.34
2022-05-21,469836.15
2022-05-22,450834.3
2022-05-23,347721.08
2022-05-24,329412.03
2022-05-25,328974.37
2022-05-26,354842.86
2022-05-27,431195.41
2022-05-28,449173.61
2022-05-29,440751.81
2022-05-30,398202.57
